Company,Field,Value,Source API,Source Field,Status,Notes
DBS Group,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Not verified from Apollo response; no independent validation applied in sample.
DBS Group,Website Domain,dbs.com,Apollo Organization Enrichment API,organization.primary_domain,Available,
DBS Group,LinkedIn URL,http://www.linkedin.com/company/dbs-bank,Apollo Organization Enrichment API,organization.linkedin_url,Available,
DBS Group,Employee Count,38000,Apollo Organization Enrichment API,organization.estimated_num_employees,Available,
DBS Group,Headcount Growth (1 Year),0.64%,Apollo Organization Enrichment API,organization.organization_headcount_twelve_month_growth,Available,
DBS Group,Revenue / Revenue Band,16.4B,Apollo Organization Enrichment API,organization.annual_revenue_printed,Available,
DBS Group,Industry,banking,Apollo Organization Enrichment API,organization.industry,Available,
DBS Group,Sub-Industry (NAICS/SIC),"financial services | NAICS: 522110, 523940 | SIC: 6021, 6211",Apollo Organization Enrichment API,"organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,
DBS Group,Headquarters Location,"12 Marina Boulevard, DBS Asia Central @ Marina Bay Financial Centre Tower 3, Singapore, 018982, SG",Apollo Organization Enrichment API,organization.raw_address,Available,
DBS Group,Number of Sites/Locations (Singapore + Global),Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Not verified from Apollo response; no independent validation applied in sample.
DBS Group,Founded Year,1968,Apollo Organization Enrichment API,organization.founded_year,Available,
DBS Group,Ownership Type,Public Company,Apollo Organization Enrichment API,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Derived only from fields returned by Apollo.
DBS Group,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Field absent in Apollo response.
