source_rank,company_name,domain,field,value,status,source_field,reason,raw_response_path
1,DBS Group,dbs.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\dbs_group.json
1,DBS Group,dbs.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\dbs_group.json
1,DBS Group,dbs.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\dbs_group.json
2,Singapore Telecommunications,singtel.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\united_overseas_bank.json
4,ST Engineering,stengg.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\st_engineering.json
4,ST Engineering,stengg.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\st_engineering.json
4,ST Engineering,stengg.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\st_engineering.json
5,Toyota Motor Corporation,global.toyota,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\sony_group_corporation.json
6,Sony Group Corporation,sony.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\sony_group_corporation.json
6,Sony Group Corporation,sony.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\sony_group_corporation.json
7,Samsung Electronics,samsung.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\samsung_electronics.json
7,Samsung Electronics,samsung.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\samsung_electronics.json
7,Samsung Electronics,samsung.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\samsung_electronics.json
8,SK Hynix,skhynix.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\sk_hynix.json
8,SK Hynix,skhynix.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\sk_hynix.json
8,SK Hynix,skhynix.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\sk_hynix.json
9,Infosys,infosys.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\infosys.json
9,Infosys,infosys.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\infosys.json
9,Infosys,infosys.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\infosys.json
10,BHP,bhp.com,Legal Name,Not Verified,Not Verified,organization.name,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,raw\apollo\bhp.json
10,BHP,bhp.com,Number of Sites/Locations,Not Verified,Not Verified,organization.retail_location_count,"Apollo returned retail_location_count, but not a verified total site/location count.",raw\apollo\bhp.json
10,BHP,bhp.com,Total Funding Raised,Not Available,Not Available,Not Available,Field absent in Apollo response.,raw\apollo\bhp.json
